date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:39	730/730	U-----	200	untouched ('OK')	text/plain	date:Wed,%2009%20Sep%202015%2008:11:17%20GMT	http://stackoverflow.com/robots.txt		(from )
10:50:39	1065/1065	U-----	200	untouched ('OK')	text/plain	etag:%227c3e8-dfb-4f45989dbe940%22	http://www.eclipse.org/robots.txt		(from )
10:50:40	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202015%2008:50:44%20GMT	http://openjpa.apache.org/robots.txt		(from )
10:50:40	140/140	U-----	200	untouched ('OK')	text/plain	etag:%22fae0205285facf1:0+ident+gzip%22	http://www.w3schools.com/robots.txt		(from )
10:50:41	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202015%2008:50:45%20GMT	http://www.lucenetutorial.com/robots.txt		(from )
10:50:41	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202015%2008:50:45%20GMT	http://lucene.apache.org/robots.txt		(from )
10:50:43	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Sep%202015%2008:50:48%20GMT	https://cwiki.apache.org/robots.txt		(from )
10:50:44	37/37	U-----	200	untouched ('OK')	text/plain	etag:%2225-4dc9f8dd06c00%22	http://www.elastichq.org/robots.txt		(from )
10:50:45	1180/1180	---M-Z	404	error ('Not%20Found')	text/html	etag:%22f94d6d1bcbf3ec1232a5df4b6c67b437%22	http://mvnrepository.com/robots.txt		(from )
10:50:47	962/962	U-----	200	untouched ('OK')	text/plain	etag:%22681fd3f-3c2-4c38703b46d40%22	https://docs.jboss.org/robots.txt		(from )
10:50:53	138/138	U-----	200	untouched ('OK')	text/plain	date:Wed,%2009%20Sep%202015%2006:48:22%20GMT	http://www.postgresql.org/robots.txt		(from )
10:50:53	2490/2490	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202015%2008:50:56%20GMT	http://hsqldb.org/robots.txt		(from )
10:50:54	169/169	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202015%2008:50:58%20GMT	http://www.firebirdsql.org/robots.txt		(from )
